attributeName	code	definition
Final (d16) Class Name	bedrock	TBD
Final (d16) Class Name	coarse gravel	TBD
Final (d16) Class Name	fine gravel	TBD
Final (d16) Class Name	medium gravel	TBD
Final (d16) Class Name	sand/silt/clay	TBD
Final (d16) Class Name	small cobble	TBD
Final (d16) Class Name	very coarse gravel	TBD
Final (d16) Class Name	very fine gravel	TBD
Final (d50) Class Name	coarse gravel	TBD
Final (d50) Class Name	fine gravel	TBD
Final (d50) Class Name	large cobble	TBD
Final (d50) Class Name	medium gravel	TBD
Final (d50) Class Name	sand/silt/clay	TBD
Final (d50) Class Name	small cobble	TBD
Final (d50) Class Name	very coarse gravel	TBD
Final (d50) Class Name	very fine gravel	TBD
Final (d84) Class Name	coarse gravel	TBD
Final (d84) Class Name	fine gravel	TBD
Final (d84) Class Name	large cobble	TBD
Final (d84) Class Name	medium boulder	TBD
Final (d84) Class Name	medium gravel	TBD
Final (d84) Class Name	small boulder	TBD
Final (d84) Class Name	small cobble	TBD
Final (d84) Class Name	very coarse gravel	TBD
Test (1) P-value (Real-stats) Significance	NA	TBD
Test (1) P-value (Real-stats) Significance	No	TBD
Test (1) P-value (Real-stats) Significance	Yes	TBD
Test (1) P-value (USFS) Significance	NA	TBD
Test (1) P-value (USFS) Significance	No	TBD
Test (1) P-value (USFS) Significance	Yes	TBD
Test (2) P-value (Real-stats) Significance	NA	TBD
Test (2) P-value (Real-stats) Significance	No	TBD
Test (2) P-value (Real-stats) Significance	Yes	TBD
Test (2) P-value (USFS) Significance	NA	TBD
Test (2) P-value (USFS) Significance	No	TBD
Test (2) P-value (USFS) Significance	Yes	TBD
Test (3) P-value (Real-stats) Significance	NA	TBD
Test (3) P-value (Real-stats) Significance	No	TBD
Test (3) P-value (Real-stats) Significance	Yes	TBD
Test (3) P-value (USFS) Significance	NA	TBD
Test (3) P-value (USFS) Significance	No	TBD
Test (3) P-value (USFS) Significance	Yes	TBD
Test (4) P-value (Real-stats) Significance	NA	TBD
Test (4) P-value (Real-stats) Significance	No	TBD
Test (4) P-value (Real-stats) Significance	Yes	TBD
Test (4) P-value (USFS) Significance	NA	TBD
Test (4) P-value (USFS) Significance	No	TBD
Test (4) P-value (USFS) Significance	Yes	TBD
