attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
SORT_MASTER	Sequentially ordered records for the purposes of data loading or other grouping.	numeric	dimensionless	NA	-999	Missing value
METHOD	The method/protocol that describes the survey/program, which is typically a detailed document explaining exactly how to collect or analyze the data.	character	NA	NA	-999	Missing value
SITENO	Numerical value that has been assigned to the site, whereas the same site number is used for repeat surveys.	numeric	dimensionless	NA	-999	Missing value
XSEC_NO	A number that identifies the cross section, whereas the cross sections are typically (but not always) numbered sequentially starting from the most downstream end of the site.	numeric	dimensionless	NA	-999	Missing value
STRM_NAME_SH	Give the abbreviated/shortened stream name of the site that is being surveyed (ie for Rock Creek it would be ""Rock""; and for North Fork Cedar River, it would be ""NFC"").	character	NA	NA	-999	Missing value
YEAR_NO	Four digit year loaded as number not date.	numeric	dimensionless	NA	-999	Missing value
YEARSITE_ID	A conjugate of ""SURVEY YEAR"", ""SITE NO"", and if applicable, ""<DECIMAL>"" and ""OTHER NUMBER OR TEXT (SUCH AS CROSS SECTION NUMBER OR ""ALL"")"", ie for LTAM, 20062.1 refers to Sample Year 2006, Site 2, and Cross Section 1; and 200621 refers to Sample Year 2006 and Site Number 21. Note that if the site does not have other number or text to append, the value will equal ""YEAR SITE IDENTIFIER"".	character	NA	NA	-999	Missing value
CT_SSC	Count Particle Size Class < 2 mm sand/silt/clay	numeric	dimensionless	NA	-999	Missing value
CMLPERC_SSC	Cumulative % Particle Size Class < 2 mm sand/silt/clay	numeric	dimensionless	NA	-999	Missing value
HSGMPERC_SSC	Histogram % Particle Size Class < 2 mm sand/silt/clay	numeric	dimensionless	NA	-999	Missing value
CT_VFG	Count Particle Size Class >= 2 and < 2.8 mm very fine gravel	numeric	dimensionless	NA	-999	Missing value
CMLPERC_VFG	Cumulative % Particle Size Class >= 2 and < 2.8 mm very fine gravel	numeric	dimensionless	NA	-999	Missing value
HSGMPERC_VFG	Histogram % Particle Size Class >= 2 and < 2.8 mm very fine gravel	numeric	dimensionless	NA	-999	Missing value
CT_VFGX	Count Particle Size Class >= 2.8 and < 4 mm very fine gravel	numeric	dimensionless	NA	-999	Missing value
