attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
SORT_MASTER	Sequentially ordered records for the purposes of data loading or other grouping.	numeric	dimensionless	NA	-999	Missing value
METHOD	The method/protocol that describes the survey/program, which is typically a detailed document explaining exactly how to collect or analyze the data.	character	NA	NA	-999	Missing value
YEARSITE_ID	A conjugate of ""SURVEY YEAR"", ""SITE NO"", and if applicable, ""<DECIMAL>"" and ""OTHER NUMBER OR TEXT (SUCH AS CROSS SECTION NUMBER OR ""ALL"")"", ie for LTAM, 20062.1 refers to Sample Year 2006, Site 2, and Cross Section 1; and 200621 refers to Sample Year 2006 and Site Number 21. Note that if the site does not have other number or text to append, the value will equal ""YEAR SITE IDENTIFIER"".	character	NA	NA	-999	Missing value
YRSITE_ABBR	A conjugate of ""YEAR OF DATA COLLECTION"" and ""SITE NO"". Note that other number or cross section number is not included, ie. 200621 refers to Sample Year 2006 and Site Number 21.	numeric	dimensionless	NA	-999	Missing value
USER_NAME	The user name as downloaded from Pendragon Forms or other electronic form. Also, ""999"" refers to not applicable; and ""-999"" refers to data that is required but is missing.	character	NA	NA	-999	Missing value
HYD_TMEST_24HR	Date or Date and Time for when the data was collected. Loaded as text due to SIMS displaying Timestamps as numbers and not dates. Has no affect on export; exported as general and not text.	Date	NA	MM/DD/YYYY hh:mm:ss	-999	Missing value
SITENO	Numerical value that has been assigned to the site, whereas the same site number is used for repeat surveys.	numeric	dimensionless	NA	-999	Missing value
STRM_NAME_SH	Give the abbreviated/shortened stream name of the site that is being surveyed (ie for Rock Creek it would be ""Rock""; and for North Fork Cedar River, it would be ""NFC"").	character	NA	NA	-999	Missing value
OBSERVERS	The names or initials of each person who participated in the survey.	character	NA	NA	-999	Missing value
XSEC_NO	A number that identifies the cross section, whereas the cross sections are typically (but not always) numbered sequentially starting from the most downstream end of the site.	numeric	dimensionless	NA	-999	Missing value
CHTYPE_PEBBL	A description of number and types of channels present at the pebble count location, ie. “main ch”, “side ch”, “other”, etc.Also, ""999"" refers to not applicable; and ""-999"" refers to data that is required but is missing.	character	NA	NA	-999	Missing value
